org_name,slug,primary_need,rent_slug,unlit_records
Orange County Department of Social Services,orange-county-department-of-social-services-energy,utility,orange-county-department-of-social-services-emergency,orange-county-department-of-social-services-fns
Orange County Youth and Family Services Division,orange-county-youth-and-family-services-division-liheap,utility,,
"Osceola County Council on Aging, Inc",osceola-county-council-on-aging-liheap,utility,,
Palm Beach County,palm-beach-county-liheap,utility,,
Pamlico County Department of Social Services,pamlico-county-department-of-social-services-energy,utility,pamlico-county-department-of-social-services-emergency,pamlico-county-department-of-social-services-fns
Panhandle Community Services,panhandle-community-services-ceap,utility,panhandle-community-services-csbg,panhandle-community-services-wap
Pasquotank County Department of Social Services,pasquotank-county-department-of-social-services-energy,utility,pasquotank-county-department-of-social-services-emergency,pasquotank-county-department-of-social-services-fns
Pecos County Community Action Agency,pecos-county-community-action-agency-ceap,utility,,pecos-county-community-action-agency-wap
Pender County Department of Social Services,pender-county-department-of-social-services-energy,utility,pender-county-department-of-social-services-emergency,pender-county-department-of-social-services-fns
Perquimans County Department of Social Services,perquimans-county-department-of-social-services-energy,utility,perquimans-county-department-of-social-services-emergency,perquimans-county-department-of-social-services-fns
Person County Department of Social Services,person-county-department-of-social-services-energy,utility,person-county-department-of-social-services-emergency,person-county-department-of-social-services-fns
"Pinellas County Urban League, Inc.",pinellas-county-urban-league-liheap,utility,,
Pitt County Department of Social Services,pitt-county-department-of-social-services-energy,utility,pitt-county-department-of-social-services-emergency,pitt-county-department-of-social-services-fns
Polk County Department of Social Services,polk-county-department-of-social-services-energy,utility,polk-county-department-of-social-services-emergency,polk-county-department-of-social-services-fns
Randolph County Department of Social Services,randolph-county-department-of-social-services-energy,utility,randolph-county-department-of-social-services-emergency,randolph-county-department-of-social-services-fns
Riceville Mt. Olive Baptist Church,riceville-mt-olive-baptist-church,other,,
Richmond County Department of Social Services,richmond-county-department-of-social-services-energy,utility,richmond-county-department-of-social-services-emergency,richmond-county-department-of-social-services-fns
Robeson County Department of Social Services,robeson-county-department-of-social-services-energy,utility,robeson-county-department-of-social-services-emergency,robeson-county-department-of-social-services-fns
Rockingham County Department of Social Services,rockingham-county-department-of-social-services-energy,utility,rockingham-county-department-of-social-services-emergency,rockingham-county-department-of-social-services-fns
Rolling Plains Management Corporation,rolling-plains-management-corporation-ceap,utility,rolling-plains-management-corporation-csbg,rolling-plains-management-corporation-wap
Rowan County Department of Social Services,rowan-county-department-of-social-services-energy,utility,rowan-county-department-of-social-services-emergency,rowan-county-department-of-social-services-fns
Rutherford County Department of Social Services,rutherford-county-department-of-social-services-energy,utility,rutherford-county-department-of-social-services-emergency,rutherford-county-department-of-social-services-fns
Sampson County Department of Social Services,sampson-county-department-of-social-services-energy,utility,sampson-county-department-of-social-services-emergency,sampson-county-department-of-social-services-fns
"San Antonio, City of, Department of Human Services",san-antonio-city-of-department-of-human-services-ceap,utility,san-antonio-city-of-department-of-human-services-csbg,san-antonio-city-of-department-of-human-services-wap
Scotland County Department of Social Services,scotland-county-department-of-social-services-energy,utility,scotland-county-department-of-social-services-emergency,scotland-county-department-of-social-services-fns
Society of St. Vincent de Paul of Harris County,society-of-st-vincent-de-paul-of-harris-county,utility,,
"South Plains Community Action Association, Inc.",south-plains-community-action-association-inc-ceap,utility,south-plains-community-action-association-inc-csbg,south-plains-community-action-association-inc-wap
South Texas Development Council,south-texas-development-council-ceap,utility,,south-texas-development-council-wap
Southeast Area Ministries,southeast-area-ministries,utility,,
Southeast Texas Regional Planning Commission,southeast-texas-regional-planning-commission-ceap,utility,,
St. John Vianney Social Ministry,st-john-vianney-social-ministry,utility,,
St. Joseph Social Ministry,st-joseph-social-ministry,utility,,
St. Justin Martyr Social Ministry,st-justin-martyr-social-ministry,utility,,
St. Mary Magdalene Social Services,st-mary-magdalene-social-services,utility,,
St. Pius Catholic Church,st-pius-catholic-church,utility,,
Stanly County Department of Social Services,stanly-county-department-of-social-services-energy,utility,stanly-county-department-of-social-services-emergency,stanly-county-department-of-social-services-fns
Star of Hope,star-of-hope,rent,,
"Step Up Suncoast, Inc.",step-up-suncoast-liheap,utility,,
Stokes County Department of Social Services,stokes-county-department-of-social-services-energy,utility,stokes-county-department-of-social-services-emergency,stokes-county-department-of-social-services-fns
Surry County Department of Social Services,surry-county-department-of-social-services-energy,utility,surry-county-department-of-social-services-emergency,surry-county-department-of-social-services-fns
"Suwannee River Economic Council, Inc.",suwannee-river-economic-council-liheap,utility,,
Swain County Department of Social Services,swain-county-department-of-social-services-energy,utility,swain-county-department-of-social-services-emergency,swain-county-department-of-social-services-fns
Target Hunger,target-hunger,other,,
Texas Neighborhood Services,texas-neighborhood-services-ceap,utility,texas-neighborhood-services-csbg,texas-neighborhood-services-wap
Texoma Council of Governments,texoma-council-of-governments-ceap,utility,texoma-council-of-governments-csbg,texoma-council-of-governments-wap
The Salvation Army,the-salvation-army-liheap,utility,,
The Salvation Army — Aldine Westfield Community Center,the-salvation-army-aldine-westfield-community-center,rent,,
The Salvation Army — Conroe Community Center,the-salvation-army-conroe-community-center,rent,,
The Salvation Army — East Harris County Community Center,the-salvation-army-east-harris-county-community-center,rent,,
The Salvation Army — International Community Center,the-salvation-army-international-community-center,rent,,
