	98	Pitt County Department of Social Services	Greenville		+12529021110	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	17	180,783	Pitt	27812 27828 27829 27833 27834 27835 27836 27837 27858 27871 27879 27884 27888 27889 28513 28530 28590	NCDHHS Local DSS Directory	pitt-county-department-of-social-services-energy	pitt-county-department-of-social-services-emergency
	99	Polk County Department of Social Services			+18288942100	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	7	54,258	Polk	75936 75939 75960 77335 77351 77360 77399	NCDHHS Local DSS Directory	polk-county-department-of-social-services-energy	polk-county-department-of-social-services-emergency
	100	Randolph County Department of Social Services	Asheboro			Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	16	148,389	Randolph	27203 27205 27208 27233 27239 27248 27263 27298 27313 27316 27317 27341 27350 27355 27360 27370	NCDHHS Local DSS Directory	randolph-county-department-of-social-services-energy	randolph-county-department-of-social-services-emergency
	101	Richmond County Department of Social Services	Rockingham		+19109978480	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	8	41,990	Richmond	27229 27306 28338 28345 28347 28363 28379 28380	NCDHHS Local DSS Directory	richmond-county-department-of-social-services-energy	richmond-county-department-of-social-services-emergency
	102	Robeson County Department of Social Services	Lumberton		+19106713500	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	13	118,624	Robeson	28340 28357 28358 28359 28360 28364 28369 28371 28372 28377 28383 28384 28386	NCDHHS Local DSS Directory	robeson-county-department-of-social-services-energy	robeson-county-department-of-social-services-emergency
	103	Rockingham County Department of Social Services	Wentworth		+13363421394	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	11	93,517	Rockingham	27025 27027 27048 27214 27288 27289 27311 27320 27326 27357 27358	NCDHHS Local DSS Directory	rockingham-county-department-of-social-services-energy	rockingham-county-department-of-social-services-emergency
	104	Rowan County Department of Social Services	Salisbury		+17042168330	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	19	153,384	Rowan	27013 27054 28023 28039 28041 28071 28072 28081 28083 28088 28115 28125 28137 28138 28144 28145 28146 28147 28159	NCDHHS Local DSS Directory	rowan-county-department-of-social-services-energy	rowan-county-department-of-social-services-emergency
	105	Rutherford County Department of Social Services	Spindale		+18282876165	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	10	65,587	Rutherford	28018 28020 28040 28043 28114 28139 28160 28167 28720 28746	NCDHHS Local DSS Directory	rutherford-county-department-of-social-services-energy	rutherford-county-department-of-social-services-emergency
	106	Sampson County Department of Social Services	Clinton		+19105927131	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	16	60,404	Sampson	28318 28328 28329 28334 28341 28344 28366 28382 28385 28393 28441 28444 28447 28453 28458 28478	NCDHHS Local DSS Directory	sampson-county-department-of-social-services-energy	sampson-county-department-of-social-services-emergency
	107	Scotland County Department of Social Services	Laurinburg		+19102772500	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	6	33,898	Scotland	28343 28351 28352 28353 28363 28396	NCDHHS Local DSS Directory	scotland-county-department-of-social-services-energy	scotland-county-department-of-social-services-emergency
