	48	Franklin County Department of Social Services	Louisburg		+19194965721	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	6	10,912	Franklin	NCDHHS Local DSS Directory	franklin-county-department-of-social-services-energy	franklin-county-department-of-social-services-emergency
	49	Gaston County Department of Social Services	Gastonia		+17048627500	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	19	242,010	Gaston	NCDHHS Local DSS Directory	gaston-county-department-of-social-services-energy	gaston-county-department-of-social-services-emergency
	50	Gates County Department of Social Services	Gatesville		+12523570075	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	7	10,299	Gates	NCDHHS Local DSS Directory	gates-county-department-of-social-services-energy	gates-county-department-of-social-services-emergency
	51	Graham County Department of Social Services	Robbinsville		+18284797911	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	3	8,179	Graham	NCDHHS Local DSS Directory	graham-county-department-of-social-services-energy	graham-county-department-of-social-services-emergency
	52	Granville County Department of Social Services			+19196931511	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	8	61,544	Granville	NCDHHS Local DSS Directory	granville-county-department-of-social-services-energy	granville-county-department-of-social-services-emergency
	53	Greene County Department of Social Services	Snow Hill		+12527475932	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	7	20,671	Greene	NCDHHS Local DSS Directory	greene-county-department-of-social-services-energy	greene-county-department-of-social-services-emergency
	54	Guilford County Department of Social Services	Greensboro		+13366413000	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	40	558,816	Guilford	NCDHHS Local DSS Directory	guilford-county-department-of-social-services-energy	guilford-county-department-of-social-services-emergency
	55	Halifax County Department of Social Services	Halifax		+12525362511	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	8	46,992	Halifax	NCDHHS Local DSS Directory	halifax-county-department-of-social-services-energy	halifax-county-department-of-social-services-emergency
	56	Harnett County Department of Social Services	Lillington		+19108937500	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	13	146,096	Harnett	NCDHHS Local DSS Directory	harnett-county-department-of-social-services-energy	harnett-county-department-of-social-services-emergency
	57	Haywood County Department of Social Services	Clyde		+18284526620	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	7	63,048	Haywood	NCDHHS Local DSS Directory	haywood-county-department-of-social-services-energy	haywood-county-department-of-social-services-emergency
	58	Henderson County Department of Social Services			+18286975500	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	13	87,467	Henderson	NCDHHS Local DSS Directory	henderson-county-department-of-social-services-energy	henderson-county-department-of-social-services-emergency
	59	Hertford County Department of Social Services	Winton		+12523587830	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	8	19,169	Hertford	NCDHHS Local DSS Directory	hertford-county-department-of-social-services-energy	hertford-county-department-of-social-services-emergency
	60	Hillsborough County Social Services Department			+18132725220	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	1	81	1,581,426	Hillsborough	FloridaCommerce LIHEAP provider list	hillsborough-county-social-services-department-liheap	
	61	Hoke County Department of Social Services	Raeford		+19108758725	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	5	55,382	Hoke	NCDHHS Local DSS Directory	hoke-county-department-of-social-services-energy	hoke-county-department-of-social-services-emergency
	62	Hyde County Department of Social Services	Engelhard		+12529264199	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	6	4,583	Hyde	NCDHHS Local DSS Directory	hyde-county-department-of-social-services-energy	hyde-county-department-of-social-services-emergency
	63	Iredell County Department of Social Services	Statesville		+17048735631	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	14	206,361	Iredell	NCDHHS Local DSS Directory	iredell-county-department-of-social-services-energy	iredell-county-department-of-social-services-emergency
	64	Jackson County Department of Social Services	Sylva		+18285865546	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	8	15,284	Jackson	NCDHHS Local DSS Directory	jackson-county-department-of-social-services-energy	jackson-county-department-of-social-services-emergency
	65	Jackson County Senior Citizens Org. Inc.			+18502634650	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	1	8	15,284	Jackson	FloridaCommerce LIHEAP provider list	jackson-county-senior-citizens-org-inc-liheap	
	66	Johnston County Department of Social Services	Smithfield		+19199895300	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	19	249,794	Johnston	NCDHHS Local DSS Directory	johnston-county-department-of-social-services-energy	johnston-county-department-of-social-services-emergency
	67	Jones County Department of Social Services	Trenton		+12524482581	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	10	20,850	Jones	NCDHHS Local DSS Directory	jones-county-department-of-social-services-energy	jones-county-department-of-social-services-emergency
	68	Lake Community Action Agency, Inc.			+13524340554	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	1	35	444,204	Lake	FloridaCommerce LIHEAP provider list	lake-community-action-agency-inc-liheap	
