zip,primary_state,population
28578,NC,5339
28579,NC,643
28580,NC,12672
28581,NC,187
28582,NC,1891
28583,NC,
28584,NC,13584
28585,NC,3617
28586,NC,7865
28587,NC,277
28590,NC,28326
28594,NC,3849
28601,NC,53973
28602,NC,29184
28603,NC,
28604,NC,7050
28605,NC,3873
28606,NC,2059
28607,NC,35495
28608,NC,
28609,NC,6137
28610,NC,10100
28611,NC,648
28612,NC,11835
28613,NC,22970
28615,NC,1915
28616,NC,162
28617,NC,2343
28618,NC,2226
28619,NC,510
28621,NC,9952
28622,NC,2395
28623,NC,1618
28624,NC,1395
28625,NC,38396
28626,NC,2499
28627,NC,1334
28628,NC,117
28629,NC,59
28630,NC,19772
28631,NC,647
28633,NC,
28634,NC,5164
28635,NC,3464
28636,NC,4998
28637,NC,1471
28638,NC,11880
28640,NC,4622
28641,NC,47
28642,NC,5336
28643,NC,3233
28644,NC,1598
28645,NC,46004
28646,NC,553
28647,NC,
28649,NC,936
28650,NC,12982
28651,NC,6305
28652,NC,73
28653,NC,36
28654,NC,3354
28655,NC,55328
28656,NC,
28657,NC,9086
28658,NC,26453
28659,NC,20588
28660,NC,2289
28661,NC,
28662,NC,127
28663,NC,701
28664,NC,91
28665,NC,2549
28666,NC,118
28667,NC,376
28668,NC,272
28669,NC,2861
28670,NC,2747
28671,NC,503
28672,NC,34
28673,NC,6761
28675,NC,6138
28676,NC,3471
28677,NC,35926
28678,NC,4999
28679,NC,1911
28680,NC,
28681,NC,25181
28682,NC,1126
28683,NC,1740
28684,NC,2065
28685,NC,1831
28687,NC,
28688,NC,
28689,NC,1846
28690,NC,9124
28692,NC,4161
28693,NC,1425
28694,NC,7769
28697,NC,12674
28698,NC,2141
28699,NC,
28701,NC,4311
28702,NC,409
28704,NC,23734
28705,NC,6220
28707,NC,302
28708,NC,662
28709,NC,2214
28710,NC,85
28711,NC,14047
28712,NC,18928
28713,NC,8551
28714,NC,16397
28715,NC,27810
28716,NC,17710
28717,NC,1639
28718,NC,597
28719,NC,7980
28720,NC,125
28721,NC,10370
28722,NC,6223
28723,NC,12297
28724,NC,
